mono_t,phase,rel_alt_m,distance_m,h_err_deg,yaw_aligned,pitch_us,throttle_us,target
1175840.305,X_LEG_1,16.37,21.45,-14.67,1,1586,1637,NE
1175840.326,X_LEG_1,16.37,21.45,-14.67,1,1586,1637,NE
1175840.346,X_LEG_1,16.37,21.45,-14.67,1,1586,1637,NE
1175840.367,X_LEG_1,16.51,21.45,-16.67,1,1586,1637,NE
1175840.387,X_LEG_1,16.51,21.45,-16.67,1,1586,1637,NE
1175840.408,X_LEG_1,16.51,21.45,-16.67,1,1586,1637,NE
1175840.428,X_LEG_1,16.51,21.45,-16.67,1,1586,1637,NE
1175840.449,X_LEG_1,16.51,21.45,-16.67,1,1586,1637,NE
1175840.470,X_LEG_1,16.66,21.45,-16.67,1,1586,1637,NE
1175840.490,X_LEG_1,16.66,21.45,-16.67,1,1586,1637,NE
1175840.511,X_LEG_1,16.66,21.45,-16.67,1,1586,1637,NE
1175840.531,X_LEG_1,16.66,21.45,-16.67,1,1586,1637,NE
1175840.552,X_LEG_1,16.66,21.45,-16.67,1,1586,1637,NE
1175840.572,X_LEG_1,16.80,21.45,-16.67,1,1586,1636,NE
1175840.593,X_LEG_1,16.80,21.45,-16.67,1,1586,1636,NE
1175840.613,X_LEG_1,16.80,21.45,-16.67,1,1586,1636,NE
1175840.634,X_LEG_1,16.80,21.45,-16.67,1,1586,1636,NE
1175840.654,X_LEG_1,16.80,21.45,-16.67,1,1586,1636,NE
1175840.675,X_LEG_1,16.95,21.45,-16.67,1,1586,1636,NE
1175840.695,X_LEG_1,16.95,21.45,-16.67,1,1586,1636,NE
1175840.716,X_LEG_1,16.95,21.45,-16.67,1,1586,1636,NE
1175840.736,X_LEG_1,16.95,21.45,-16.67,1,1586,1636,NE
1175840.757,X_LEG_1,16.95,21.45,-16.67,1,1586,1636,NE
1175840.778,X_LEG_1,17.09,21.45,-16.67,1,1586,1635,NE
1175840.798,X_LEG_1,17.09,21.45,-16.67,1,1586,1635,NE
1175840.819,X_LEG_1,17.09,21.45,-16.67,1,1586,1635,NE
1175840.839,X_LEG_1,17.09,21.45,-16.67,1,1586,1635,NE
1175840.860,X_LEG_1,17.09,21.45,-16.67,1,1586,1635,NE
1175840.881,X_LEG_1,17.09,21.45,-12.67,1,1586,1635,NE
1175840.901,X_LEG_1,17.09,21.45,-12.67,1,1586,1635,NE
1175840.922,X_LEG_1,17.09,21.45,-12.67,1,1586,1635,NE
1175840.942,X_LEG_1,17.09,21.45,-12.67,1,1586,1635,NE
1175840.962,X_LEG_1,17.09,21.45,-12.67,1,1586,1635,NE
1175840.983,X_LEG_1,17.23,21.44,-12.69,1,1586,1635,NE
1175841.003,X_LEG_1,17.23,21.44,-12.69,1,1586,1635,NE
1175841.023,X_LEG_1,17.23,21.44,-12.69,1,1586,1635,NE
1175841.044,X_LEG_1,17.23,21.44,-12.69,1,1586,1635,NE
1175841.064,X_LEG_1,17.23,21.44,-12.69,1,1586,1635,NE
1175841.085,X_LEG_1,17.37,21.43,-12.67,1,1586,1634,NE
1175841.105,X_LEG_1,17.37,21.43,-12.67,1,1586,1634,NE
1175841.125,X_LEG_1,17.37,21.43,-12.67,1,1586,1634,NE
1175841.146,X_LEG_1,17.37,21.43,-12.67,1,1586,1634,NE
1175841.166,X_LEG_1,17.37,21.43,-12.67,1,1586,1634,NE
1175841.187,X_LEG_1,17.51,21.43,-12.68,1,1586,1634,NE
1175841.207,X_LEG_1,17.51,21.43,-12.68,1,1586,1634,NE
1175841.228,X_LEG_1,17.51,21.43,-12.68,1,1586,1634,NE
1175841.248,X_LEG_1,17.51,21.43,-12.68,1,1586,1634,NE
1175841.268,X_LEG_1,17.51,21.43,-12.68,1,1586,1634,NE
1175841.289,X_LEG_1,17.65,21.43,-12.68,1,1586,1634,NE
1175841.309,X_LEG_1,17.65,21.43,-12.68,1,1586,1634,NE
1175841.330,X_LEG_1,17.65,21.43,-12.68,1,1586,1634,NE
1175841.350,X_LEG_1,17.65,21.43,-12.68,1,1586,1634,NE
1175841.371,X_LEG_1,17.65,21.43,-12.68,1,1586,1634,NE
1175841.391,X_LEG_1,17.79,21.42,-9.70,1,1586,1633,NE
1175841.412,X_LEG_1,17.79,21.42,-9.70,1,1586,1633,NE
1175841.432,X_LEG_1,17.79,21.42,-9.70,1,1586,1633,NE
1175841.452,X_LEG_1,17.79,21.42,-9.70,1,1586,1633,NE
1175841.473,X_LEG_1,17.79,21.42,-9.70,1,1586,1633,NE
1175841.493,X_LEG_1,17.93,21.41,-9.69,1,1586,1633,NE
1175841.514,X_LEG_1,17.93,21.41,-9.69,1,1586,1633,NE
1175841.534,X_LEG_1,17.93,21.41,-9.69,1,1586,1633,NE
1175841.554,X_LEG_1,17.93,21.41,-9.69,1,1586,1633,NE
1175841.574,X_LEG_1,17.93,21.41,-9.69,1,1586,1633,NE
1175841.595,X_LEG_1,18.07,21.41,-9.69,1,1586,1632,NE
1175841.616,X_LEG_1,18.07,21.41,-9.69,1,1586,1632,NE
1175841.636,X_LEG_1,18.07,21.41,-9.69,1,1586,1632,NE
1175841.657,X_LEG_1,18.07,21.41,-9.69,1,1586,1632,NE
1175841.677,X_LEG_1,18.07,21.41,-9.69,1,1586,1632,NE
1175841.697,X_LEG_1,18.21,21.40,-9.71,1,1586,1632,NE
1175841.718,X_LEG_1,18.21,21.40,-9.71,1,1586,1632,NE
1175841.738,X_LEG_1,18.21,21.40,-9.71,1,1586,1632,NE
1175841.759,X_LEG_1,18.21,21.40,-9.71,1,1586,1632,NE
1175841.779,X_LEG_1,18.21,21.40,-9.71,1,1586,1632,NE
1175841.800,X_LEG_1,18.35,21.39,-9.71,1,1586,1631,NE
1175841.820,X_LEG_1,18.35,21.39,-9.71,1,1586,1631,NE
1175841.842,X_LEG_1,18.35,21.39,-9.71,1,1586,1631,NE
1175841.862,X_LEG_1,18.35,21.39,-9.71,1,1586,1631,NE
1175841.882,X_LEG_1,18.35,21.39,-9.71,1,1586,1631,NE
1175841.903,X_LEG_1,18.35,21.39,-9.71,1,1586,1631,NE
1175841.924,X_LEG_1,18.35,21.39,-9.71,1,1586,1631,NE
1175841.944,X_LEG_1,18.35,21.39,-9.71,1,1586,1631,NE
1175841.965,X_LEG_1,18.35,21.39,-9.71,1,1586,1631,NE
1175841.985,X_LEG_1,18.35,21.39,-9.71,1,1586,1631,NE
1175842.006,X_LEG_1,18.48,21.39,-8.71,1,1586,1631,NE
1175842.026,X_LEG_1,18.48,21.39,-8.71,1,1586,1631,NE
1175842.047,X_LEG_1,18.48,21.39,-8.71,1,1586,1631,NE
1175842.067,X_LEG_1,18.48,21.39,-8.71,1,1586,1631,NE
1175842.088,X_LEG_1,18.48,21.39,-8.71,1,1586,1631,NE
1175842.108,X_LEG_1,18.62,21.37,-8.70,1,1585,1631,NE
1175842.129,X_LEG_1,18.62,21.37,-8.70,1,1585,1631,NE
1175842.149,X_LEG_1,18.62,21.37,-8.70,1,1585,1631,NE
1175842.170,X_LEG_1,18.62,21.37,-8.70,1,1585,1631,NE
1175842.190,X_LEG_1,18.62,21.37,-8.70,1,1585,1631,NE
1175842.211,X_LEG_1,18.75,21.37,-8.72,1,1585,1630,NE
1175842.232,X_LEG_1,18.75,21.37,-8.72,1,1585,1630,NE
1175842.253,X_LEG_1,18.75,21.37,-8.72,1,1585,1630,NE
1175842.273,X_LEG_1,18.75,21.37,-8.72,1,1585,1630,NE
1175842.293,X_LEG_1,18.75,21.37,-8.72,1,1585,1630,NE
1175842.314,X_LEG_1,18.89,21.35,-8.71,1,1585,1630,NE
1175842.334,X_LEG_1,18.89,21.35,-8.71,1,1585,1630,NE
1175842.355,X_LEG_1,18.89,21.35,-8.71,1,1585,1630,NE
1175842.375,X_LEG_1,18.89,21.35,-8.71,1,1585,1630,NE
1175842.396,X_LEG_1,18.89,21.35,-8.71,1,1585,1630,NE
1175842.416,X_LEG_1,19.02,21.35,-8.73,1,1585,1629,NE
1175842.437,X_LEG_1,19.02,21.35,-8.73,1,1585,1629,NE
1175842.457,X_LEG_1,19.02,21.35,-8.73,1,1585,1629,NE
1175842.478,X_LEG_1,19.02,21.35,-8.73,1,1585,1629,NE
1175842.498,X_LEG_1,19.02,21.35,-8.73,1,1585,1629,NE
1175842.519,X_LEG_1,19.15,21.33,-6.72,1,1585,1629,NE
1175842.539,X_LEG_1,19.15,21.33,-6.72,1,1585,1629,NE
1175842.559,X_LEG_1,19.15,21.33,-6.72,1,1585,1629,NE
1175842.579,X_LEG_1,19.15,21.33,-6.72,1,1585,1629,NE
1175842.600,X_LEG_1,19.15,21.33,-6.72,1,1585,1629,NE
1175842.620,X_LEG_1,19.28,21.33,-6.74,1,1585,1629,NE
1175842.640,X_LEG_1,19.28,21.33,-6.74,1,1585,1629,NE
1175842.661,X_LEG_1,19.28,21.33,-6.74,1,1585,1629,NE
1175842.681,X_LEG_1,19.28,21.33,-6.74,1,1585,1629,NE
1175842.702,X_LEG_1,19.28,21.33,-6.74,1,1585,1629,NE
1175842.722,X_LEG_1,19.41,21.31,-6.73,1,1585,1628,NE
1175842.742,X_LEG_1,19.41,21.31,-6.73,1,1585,1628,NE
1175842.763,X_LEG_1,19.41,21.31,-6.73,1,1585,1628,NE
1175842.783,X_LEG_1,19.41,21.31,-6.73,1,1585,1628,NE
1175842.804,X_LEG_1,19.41,21.31,-6.73,1,1585,1628,NE
1175842.825,X_LEG_1,19.54,21.31,-6.75,1,1585,1628,NE
1175842.845,X_LEG_1,19.54,21.31,-6.75,1,1585,1628,NE
1175842.865,X_LEG_1,19.54,21.31,-6.75,1,1585,1628,NE
1175842.886,X_LEG_1,19.54,21.31,-6.75,1,1585,1628,NE
1175842.906,X_LEG_1,19.54,21.31,-6.75,1,1585,1628,NE
1175842.927,X_LEG_1,19.54,21.31,-6.75,1,1585,1628,NE
1175842.947,X_LEG_1,19.54,21.31,-6.75,1,1585,1628,NE
1175842.968,X_LEG_1,19.54,21.31,-6.75,1,1585,1628,NE
1175842.988,X_LEG_1,19.54,21.31,-6.75,1,1585,1628,NE
1175843.009,X_LEG_1,19.54,21.31,-6.75,1,1585,1628,NE
1175843.029,X_LEG_1,19.67,21.29,-6.76,1,1585,1627,NE
1175843.050,X_LEG_1,19.67,21.29,-6.76,1,1585,1627,NE
1175843.070,X_LEG_1,19.67,21.29,-6.76,1,1585,1627,NE
1175843.091,X_LEG_1,19.67,21.29,-6.76,1,1585,1627,NE
1175843.111,X_LEG_1,19.67,21.29,-6.76,1,1585,1627,NE
1175843.132,X_LEG_1,19.80,21.28,-6.77,1,1585,1627,NE
1175843.153,X_LEG_1,19.80,21.28,-6.77,1,1585,1627,NE
1175843.174,X_LEG_1,19.80,21.28,-6.77,1,1585,1627,NE
1175843.194,X_LEG_1,19.80,21.28,-6.77,1,1585,1627,NE
1175843.215,X_LEG_1,19.80,21.28,-6.77,1,1585,1627,NE
1175843.236,X_LEG_1,19.93,21.27,-6.77,1,1585,1627,NE
1175843.256,X_LEG_1,19.93,21.27,-6.77,1,1585,1627,NE
1175843.277,X_LEG_1,19.93,21.27,-6.77,1,1585,1627,NE
1175843.297,X_LEG_1,19.93,21.27,-6.77,1,1585,1627,NE
1175843.318,X_LEG_1,19.93,21.27,-6.77,1,1585,1627,NE
1175843.339,X_LEG_1,20.05,21.25,-6.76,1,1585,1626,NE
1175843.359,X_LEG_1,20.05,21.25,-6.76,1,1585,1626,NE
1175843.380,X_LEG_1,20.05,21.25,-6.76,1,1585,1626,NE
1175843.400,X_LEG_1,20.05,21.25,-6.76,1,1585,1626,NE
1175843.421,X_LEG_1,20.05,21.25,-6.76,1,1585,1626,NE
1175843.441,X_LEG_1,20.18,21.24,-6.79,1,1585,1626,NE
1175843.462,X_LEG_1,20.18,21.24,-6.79,1,1585,1626,NE
1175843.482,X_LEG_1,20.18,21.24,-6.79,1,1585,1626,NE
1175843.503,X_LEG_1,20.18,21.24,-6.79,1,1585,1626,NE
1175843.523,X_LEG_1,20.18,21.24,-6.79,1,1585,1626,NE
1175843.544,X_LEG_1,20.30,21.23,-6.79,1,1585,1626,NE
