t_s,n_m,e_m,alt_m,yaw_deg
16.724508400075138,0.003,-0.204,6.704,-0.12
16.853100100066513,0.003,-0.205,6.587,-0.07
16.968103100080043,0.002,-0.206,6.47,-0.08
17.074379099998623,0.002,-0.207,6.354,-0.07
17.1829212999437,0.002,-0.208,6.239,-0.11
17.30260429996997,0.002,-0.209,6.125,-0.12
17.504602200118825,0.002,-0.21,6.011,-0.16
17.60571309993975,0.001,-0.211,5.898,-0.14
17.707134200027213,0.001,-0.212,5.786,-0.15
17.807751700049266,0.001,-0.213,5.675,-0.11
17.90901970001869,0.001,-0.214,5.565,-0.11
18.010663100052625,0.0,-0.215,5.455,-0.08
18.221663400065154,0.0,-0.216,5.347,-0.1
18.322902099927887,-0.0,-0.217,5.239,-0.09
18.427373900078237,-0.0,-0.218,5.133,-0.12
18.528974400134757,-0.001,-0.219,5.028,-0.11
18.63140990003012,-0.001,-0.22,4.924,-0.13
18.738928300095722,-0.001,-0.221,4.821,-0.12
18.859783000079915,-0.001,-0.222,4.719,-0.14
19.062318600015715,-0.002,-0.223,4.619,-0.12
19.18767370004207,-0.002,-0.224,4.52,-0.13
19.38949430012144,-0.002,-0.224,4.421,-0.12
19.490745899965987,-0.002,-0.225,4.324,-0.12
19.592065799981356,-0.003,-0.226,4.229,-0.11
19.693401800002903,-0.003,-0.227,4.134,-0.11
19.794877500040457,-0.003,-0.228,4.041,-0.1
19.913767399964854,-0.003,-0.229,3.949,-0.1
20.033288599923253,-0.003,-0.23,3.858,-0.1
20.15561469993554,-0.004,-0.231,3.769,-0.1
20.281032799975947,-0.004,-0.231,3.681,-0.1
20.396652200026438,-0.004,-0.232,3.594,-0.1
20.498831700067967,-0.004,-0.233,3.508,-0.11
20.707977999933064,-0.005,-0.234,3.424,-0.12
20.81488099996932,-0.005,-0.235,3.341,-0.12
20.92238299991004,-0.005,-0.235,3.259,-0.13
21.02786929998547,-0.005,-0.236,3.179,-0.13
21.15119590004906,-0.005,-0.237,3.1,-0.12
21.3536696000956,-0.006,-0.238,3.022,-0.12
21.454615599941462,-0.006,-0.239,2.946,-0.1
21.57142210006714,-0.006,-0.239,2.872,-0.1
21.69734439998865,-0.006,-0.24,2.799,-0.09
21.90541040012613,-0.006,-0.241,2.728,-0.1
22.03980050003156,-0.007,-0.242,2.658,-0.08
22.25384550006129,-0.007,-0.242,2.589,-0.09
22.380227399989963,-0.007,-0.243,2.523,-0.08
22.505074199987575,-0.007,-0.244,2.457,-0.1
22.63243280001916,-0.007,-0.245,2.394,-0.1
22.781516999937594,-0.008,-0.245,2.332,-0.12
22.98327840003185,-0.008,-0.246,2.271,-0.11
23.084940900094807,-0.008,-0.247,2.213,-0.12
23.351210300112143,-0.008,-0.248,2.128,-0.1
23.453281600028276,-0.008,-0.248,2.128,-0.1
23.5888958000578,-0.008,-0.248,2.073,-0.1
23.733168700011447,-0.008,-0.249,2.046,-0.09
23.947520199930295,-0.009,-0.249,1.994,-0.1
24.061249000020325,-0.009,-0.25,1.968,-0.09
24.166358900023624,-0.009,-0.25,1.919,-0.1
24.28967530000955,-0.009,-0.251,1.871,-0.11
24.493073099991307,-0.009,-0.252,1.824,-0.11
24.59448909992352,-0.009,-0.253,1.78,-0.12
24.69769320008345,-0.009,-0.253,1.737,-0.12
24.81910730013624,-0.01,-0.254,1.696,-0.11
25.022684199968353,-0.01,-0.255,1.656,-0.1
25.123662299942225,-0.01,-0.255,1.619,-0.09
25.248941000085324,-0.01,-0.256,1.583,-0.1
25.369397199945524,-0.01,-0.257,1.549,-0.1
25.492586800130084,-0.01,-0.257,1.518,-0.11
25.613454499980435,-0.01,-0.258,1.487,-0.12
25.738259200006723,-0.01,-0.259,1.459,-0.13
25.858891800045967,-0.011,-0.259,1.433,-0.12
25.978916299995035,-0.011,-0.26,1.408,-0.13
26.10045660007745,-0.011,-0.261,1.385,-0.11
26.221136500127614,-0.011,-0.261,1.364,-0.12
26.339571099961177,-0.011,-0.262,1.345,-0.1
26.440627899952233,-0.011,-0.263,1.328,-0.11
26.545949900057167,-0.011,-0.263,1.313,-0.09
26.64739409997128,-0.011,-0.264,1.299,-0.11
26.767099000047892,-0.011,-0.265,1.288,-0.11
26.887091800104827,-0.011,-0.265,1.278,-0.13
27.009419300127774,-0.011,-0.266,1.27,-0.11
27.130607899976894,-0.011,-0.267,1.264,-0.14
27.251952100079507,-0.011,-0.267,1.26,-0.12
27.36612719995901,-0.012,-0.268,1.258,-0.13
27.48553210007958,-0.011,-0.269,1.258,-0.11
27.609527100110427,-0.012,-0.269,1.259,-0.13
27.73108120006509,-0.012,-0.27,1.263,-0.11
27.850684999953955,-0.012,-0.27,1.268,-0.14
27.972258900059387,-0.012,-0.271,1.276,-0.13
28.19183830008842,-0.012,-0.272,1.285,-0.14
28.296274699969217,-0.012,-0.272,1.296,-0.12
28.399398799985647,-0.012,-0.273,1.309,-0.14
28.505954900057986,-0.012,-0.274,1.324,-0.11
28.609079800080508,-0.012,-0.274,1.34,-0.13
28.716059600003064,-0.012,-0.275,1.359,-0.11
28.837647299980745,-0.012,-0.276,1.38,-0.13
28.938827499980107,-0.012,-0.276,1.402,-0.11
29.0401894999668,-0.012,-0.276,1.402,-0.11
29.141268800012767,-0.012,-0.277,1.427,-0.14
29.24259250005707,-0.011,-0.278,1.453,-0.13
29.343771300045773,-0.012,-0.278,1.481,-0.15
29.44471940002404,-0.011,-0.279,1.511,-0.14
29.572182799922302,-0.011,-0.279,1.543,-0.16
29.69617630005814,-0.011,-0.28,1.577,-0.15
29.822764599928632,-0.011,-0.281,1.613,-0.17
29.945465500000864,-0.011,-0.281,1.65,-0.16
30.054043600102887,-0.011,-0.282,1.69,-0.17
30.174119899980724,-0.011,-0.283,1.731,-0.15
30.29914060002193,-0.011,-0.283,1.775,-0.16
30.423183199949563,-0.011,-0.284,1.82,-0.15
30.54419649997726,-0.011,-0.285,1.867,-0.16
30.664125900017098,-0.011,-0.285,1.916,-0.17
30.780731400009245,-0.011,-0.286,1.967,-0.18
30.886606300016865,-0.01,-0.286,2.019,-0.18
30.98789480002597,-0.01,-0.287,2.074,-0.19
31.089195100124925,-0.01,-0.288,2.13,-0.19
31.210000599967316,-0.01,-0.288,2.188,-0.18
31.330245099961758,-0.01,-0.289,2.248,-0.17
31.450375400017947,-0.01,-0.29,2.31,-0.16
31.569647300057113,-0.01,-0.29,2.373,-0.15
31.692236500093713,-0.009,-0.291,2.439,-0.15
31.825927499914542,-0.009,-0.291,2.506,-0.15
31.959323100047186,-0.009,-0.292,2.574,-0.16
32.165574399987236,-0.009,-0.293,2.645,-0.17
32.28539879992604,-0.009,-0.293,2.717,-0.17
32.4081836999394,-0.009,-0.294,2.791,-0.18
32.52816310012713,-0.008,-0.295,2.866,-0.18
