mono_t,phase,rel_alt_m,distance_m,h_err_deg,yaw_aligned,pitch_us,throttle_us,target
1174364.886,X_LEG_1,14.29,42.65,-43.87,0,1500,1643,NE
1174364.906,X_LEG_1,14.29,42.65,-43.87,0,1500,1643,NE
1174364.927,X_LEG_1,14.29,42.65,-43.87,0,1500,1643,NE
1174364.947,X_LEG_1,14.29,42.65,-43.87,0,1500,1643,NE
1174364.967,X_LEG_1,14.29,42.65,-43.87,0,1500,1643,NE
1174364.988,X_LEG_1,14.64,42.65,-43.87,0,1500,1642,NE
1174365.008,X_LEG_1,14.64,42.65,-43.87,0,1500,1642,NE
1174365.029,X_LEG_1,14.64,42.65,-43.87,0,1500,1642,NE
1174365.049,X_LEG_1,14.64,42.65,-43.87,0,1500,1642,NE
1174365.070,X_LEG_1,14.64,42.65,-43.87,0,1500,1642,NE
1174365.090,X_LEG_1,14.92,42.65,-43.87,0,1500,1641,NE
1174365.111,X_LEG_1,14.92,42.65,-43.87,0,1500,1641,NE
1174365.131,X_LEG_1,14.92,42.65,-43.87,0,1500,1641,NE
1174365.152,X_LEG_1,14.92,42.65,-43.87,0,1500,1641,NE
1174365.172,X_LEG_1,14.92,42.65,-43.87,0,1500,1641,NE
1174365.193,X_LEG_1,15.19,42.65,-43.87,0,1500,1641,NE
1174365.213,X_LEG_1,15.19,42.65,-43.87,0,1500,1641,NE
1174365.233,X_LEG_1,15.19,42.65,-43.87,0,1500,1641,NE
1174365.254,X_LEG_1,15.19,42.65,-43.87,0,1500,1641,NE
1174365.274,X_LEG_1,15.19,42.65,-43.87,0,1500,1641,NE
1174365.295,X_LEG_1,15.54,42.64,-43.86,0,1500,1640,NE
1174365.315,X_LEG_1,15.54,42.64,-43.86,0,1500,1640,NE
1174365.336,X_LEG_1,15.54,42.64,-43.86,0,1500,1640,NE
1174365.356,X_LEG_1,15.54,42.64,-43.86,0,1500,1640,NE
1174365.376,X_LEG_1,15.54,42.64,-43.86,0,1500,1640,NE
1174365.397,X_LEG_1,15.82,42.65,-27.85,0,1500,1639,NE
1174365.417,X_LEG_1,15.82,42.65,-27.85,0,1500,1639,NE
1174365.437,X_LEG_1,15.82,42.65,-27.85,0,1500,1639,NE
1174365.458,X_LEG_1,15.82,42.65,-27.85,0,1500,1639,NE
1174365.478,X_LEG_1,15.82,42.65,-27.85,0,1500,1639,NE
1174365.499,X_LEG_1,15.82,42.65,-27.85,0,1500,1639,NE
1174365.519,X_LEG_1,15.82,42.65,-27.85,0,1500,1639,NE
1174365.540,X_LEG_1,15.82,42.65,-27.85,0,1500,1639,NE
1174365.560,X_LEG_1,15.82,42.65,-27.85,0,1500,1639,NE
1174365.580,X_LEG_1,15.82,42.65,-27.85,0,1500,1639,NE
1174365.601,X_LEG_1,16.10,42.65,-27.85,0,1500,1638,NE
1174365.622,X_LEG_1,16.10,42.65,-27.85,0,1500,1638,NE
1174365.642,X_LEG_1,16.10,42.65,-27.85,0,1500,1638,NE
1174365.662,X_LEG_1,16.10,42.65,-27.85,0,1500,1638,NE
1174365.683,X_LEG_1,16.10,42.65,-27.85,0,1500,1638,NE
1174365.703,X_LEG_1,16.37,42.65,-27.85,0,1500,1637,NE
1174365.724,X_LEG_1,16.37,42.65,-27.85,0,1500,1637,NE
1174365.744,X_LEG_1,16.37,42.65,-27.85,0,1500,1637,NE
1174365.765,X_LEG_1,16.37,42.65,-27.85,0,1500,1637,NE
1174365.785,X_LEG_1,16.37,42.65,-27.85,0,1500,1637,NE
1174365.806,X_LEG_1,16.65,42.65,-27.85,0,1500,1637,NE
1174365.826,X_LEG_1,16.65,42.65,-27.85,0,1500,1637,NE
1174365.847,X_LEG_1,16.65,42.65,-27.85,0,1500,1637,NE
1174365.867,X_LEG_1,16.65,42.65,-27.85,0,1500,1637,NE
1174365.887,X_LEG_1,16.65,42.65,-27.85,0,1500,1637,NE
1174365.908,X_LEG_1,16.92,42.65,-3.85,1,1671,1636,NE
1174365.928,X_LEG_1,16.92,42.65,-3.85,1,1671,1636,NE
1174365.949,X_LEG_1,16.92,42.65,-3.85,1,1671,1636,NE
1174365.970,X_LEG_1,16.92,42.65,-3.85,1,1671,1636,NE
1174365.990,X_LEG_1,16.92,42.65,-3.85,1,1671,1636,NE
1174366.010,X_LEG_1,17.19,42.64,-3.84,1,1671,1635,NE
1174366.031,X_LEG_1,17.19,42.64,-3.84,1,1671,1635,NE
1174366.051,X_LEG_1,17.19,42.64,-3.84,1,1671,1635,NE
1174366.071,X_LEG_1,17.19,42.64,-3.84,1,1671,1635,NE
1174366.092,X_LEG_1,17.19,42.64,-3.84,1,1671,1635,NE
1174366.112,X_LEG_1,17.46,42.64,-3.84,1,1671,1634,NE
1174366.133,X_LEG_1,17.46,42.64,-3.84,1,1671,1634,NE
1174366.153,X_LEG_1,17.46,42.64,-3.84,1,1671,1634,NE
1174366.173,X_LEG_1,17.46,42.64,-3.84,1,1671,1634,NE
1174366.193,X_LEG_1,17.46,42.64,-3.84,1,1671,1634,NE
