mono_t,phase,rel_alt_m,distance_m,h_err_deg,yaw_aligned,pitch_us,throttle_us,target
1173166.296,X_LEG_1,14.32,42.36,-99.84,0,1500,1643,NE
1173166.316,X_LEG_1,14.32,42.36,-99.84,0,1500,1643,NE
1173166.336,X_LEG_1,14.32,42.36,-99.84,0,1500,1643,NE
1173166.357,X_LEG_1,14.32,42.36,-99.84,0,1500,1643,NE
1173166.377,X_LEG_1,14.32,42.36,-99.84,0,1500,1643,NE
1173166.398,X_LEG_1,14.46,42.36,-99.84,0,1500,1642,NE
1173166.418,X_LEG_1,14.46,42.36,-99.84,0,1500,1642,NE
1173166.439,X_LEG_1,14.46,42.36,-99.84,0,1500,1642,NE
1173166.459,X_LEG_1,14.46,42.36,-99.84,0,1500,1642,NE
1173166.480,X_LEG_1,14.46,42.36,-99.84,0,1500,1642,NE
1173166.500,X_LEG_1,14.59,42.36,-99.84,0,1500,1642,NE
1173166.520,X_LEG_1,14.59,42.36,-99.84,0,1500,1642,NE
1173166.541,X_LEG_1,14.59,42.36,-99.84,0,1500,1642,NE
1173166.563,X_LEG_1,14.59,42.36,-99.84,0,1500,1642,NE
1173166.582,X_LEG_1,14.59,42.36,-99.84,0,1500,1642,NE
1173166.603,X_LEG_1,14.59,42.36,-99.84,0,1500,1642,NE
1173166.623,X_LEG_1,14.59,42.36,-99.84,0,1500,1642,NE
1173166.644,X_LEG_1,14.59,42.36,-99.84,0,1500,1642,NE
1173166.664,X_LEG_1,14.59,42.36,-99.84,0,1500,1642,NE
1173166.685,X_LEG_1,14.59,42.36,-99.84,0,1500,1642,NE
1173166.705,X_LEG_1,14.73,42.36,-97.84,0,1500,1641,NE
1173166.726,X_LEG_1,14.73,42.36,-97.84,0,1500,1641,NE
1173166.746,X_LEG_1,14.73,42.36,-97.84,0,1500,1641,NE
1173166.766,X_LEG_1,14.73,42.36,-97.84,0,1500,1641,NE
1173166.787,X_LEG_1,14.73,42.36,-97.84,0,1500,1641,NE
1173166.808,X_LEG_1,14.95,42.35,-97.83,0,1500,1641,NE
1173166.828,X_LEG_1,14.95,42.35,-97.83,0,1500,1641,NE
1173166.849,X_LEG_1,14.95,42.35,-97.83,0,1500,1641,NE
1173166.869,X_LEG_1,14.95,42.35,-97.83,0,1500,1641,NE
1173166.890,X_LEG_1,14.95,42.35,-97.83,0,1500,1641,NE
1173166.910,X_LEG_1,15.09,42.35,-97.83,0,1500,1641,NE
1173166.931,X_LEG_1,15.09,42.35,-97.83,0,1500,1641,NE
1173166.952,X_LEG_1,15.09,42.35,-97.83,0,1500,1641,NE
1173166.973,X_LEG_1,15.09,42.35,-97.83,0,1500,1641,NE
1173166.993,X_LEG_1,15.09,42.35,-97.83,0,1500,1641,NE
1173167.015,X_LEG_1,15.31,42.35,-97.83,0,1500,1641,NE
1173167.035,X_LEG_1,15.31,42.35,-97.83,0,1500,1641,NE
1173167.056,X_LEG_1,15.31,42.35,-97.83,0,1500,1641,NE
1173167.077,X_LEG_1,15.31,42.35,-97.83,0,1500,1641,NE
1173167.098,X_LEG_1,15.31,42.35,-97.83,0,1500,1641,NE
1173167.118,X_LEG_1,15.45,42.35,-97.83,0,1500,1640,NE
1173167.139,X_LEG_1,15.45,42.35,-97.83,0,1500,1640,NE
1173167.159,X_LEG_1,15.45,42.35,-97.83,0,1500,1640,NE
1173167.180,X_LEG_1,15.45,42.35,-97.83,0,1500,1640,NE
1173167.200,X_LEG_1,15.45,42.35,-97.83,0,1500,1640,NE
1173167.221,X_LEG_1,15.45,42.35,-97.83,0,1500,1640,NE
1173167.241,X_LEG_1,15.45,42.35,-97.83,0,1500,1640,NE
1173167.262,X_LEG_1,15.45,42.35,-97.83,0,1500,1640,NE
1173167.282,X_LEG_1,15.45,42.35,-97.83,0,1500,1640,NE
1173167.303,X_LEG_1,15.45,42.35,-97.83,0,1500,1640,NE
1173167.323,X_LEG_1,15.59,42.35,-63.83,0,1500,1640,NE
1173167.344,X_LEG_1,15.59,42.35,-63.83,0,1500,1640,NE
1173167.365,X_LEG_1,15.59,42.35,-63.83,0,1500,1640,NE
1173167.385,X_LEG_1,15.59,42.35,-63.83,0,1500,1640,NE
1173167.405,X_LEG_1,15.59,42.35,-63.83,0,1500,1640,NE
1173167.426,X_LEG_1,15.74,42.34,-63.82,0,1500,1639,NE
1173167.447,X_LEG_1,15.74,42.34,-63.82,0,1500,1639,NE
1173167.467,X_LEG_1,15.74,42.34,-63.82,0,1500,1639,NE
1173167.488,X_LEG_1,15.74,42.34,-63.82,0,1500,1639,NE
1173167.508,X_LEG_1,15.74,42.34,-63.82,0,1500,1639,NE
1173167.528,X_LEG_1,15.88,42.34,-63.82,0,1500,1639,NE
1173167.549,X_LEG_1,15.88,42.34,-63.82,0,1500,1639,NE
1173167.569,X_LEG_1,15.88,42.34,-63.82,0,1500,1639,NE
1173167.590,X_LEG_1,15.88,42.34,-63.82,0,1500,1639,NE
1173167.610,X_LEG_1,15.88,42.34,-63.82,0,1500,1639,NE
1173167.631,X_LEG_1,15.88,42.34,-63.82,0,1500,1639,NE
1173167.652,X_LEG_1,15.88,42.34,-63.82,0,1500,1639,NE
1173167.672,X_LEG_1,15.88,42.34,-63.82,0,1500,1639,NE
1173167.693,X_LEG_1,15.88,42.34,-63.82,0,1500,1639,NE
1173167.713,X_LEG_1,15.88,42.34,-63.82,0,1500,1639,NE
1173167.733,X_LEG_1,16.03,42.34,-63.82,0,1500,1638,NE
1173167.754,X_LEG_1,16.03,42.34,-63.82,0,1500,1638,NE
1173167.776,X_LEG_1,16.03,42.34,-63.82,0,1500,1638,NE
1173167.796,X_LEG_1,16.03,42.34,-63.82,0,1500,1638,NE
1173167.816,X_LEG_1,16.03,42.34,-63.82,0,1500,1638,NE
1173167.837,X_LEG_1,16.17,42.33,-63.83,0,1500,1638,NE
1173167.857,X_LEG_1,16.17,42.33,-63.83,0,1500,1638,NE
1173167.877,X_LEG_1,16.17,42.33,-63.83,0,1500,1638,NE
1173167.901,X_LEG_1,16.17,42.33,-63.83,0,1500,1638,NE
1173167.921,X_LEG_1,16.17,42.33,-63.83,0,1500,1638,NE
1173167.942,X_LEG_1,16.39,42.33,-63.83,0,1500,1637,NE
1173167.963,X_LEG_1,16.39,42.33,-63.83,0,1500,1637,NE
1173167.983,X_LEG_1,16.39,42.33,-63.83,0,1500,1637,NE
1173168.004,X_LEG_1,16.39,42.33,-63.83,0,1500,1637,NE
1173168.025,X_LEG_1,16.39,42.33,-63.83,0,1500,1637,NE
1173168.045,X_LEG_1,16.39,42.33,-63.83,0,1500,1637,NE
1173168.066,X_LEG_1,16.39,42.33,-63.83,0,1500,1637,NE
1173168.087,X_LEG_1,16.39,42.33,-63.83,0,1500,1637,NE
1173168.108,X_LEG_1,16.39,42.33,-63.83,0,1500,1637,NE
1173168.128,X_LEG_1,16.39,42.33,-63.83,0,1500,1637,NE
1173168.149,X_LEG_1,16.54,42.33,-42.83,0,1500,1637,NE
1173168.169,X_LEG_1,16.54,42.33,-42.83,0,1500,1637,NE
1173168.189,X_LEG_1,16.54,42.33,-42.83,0,1500,1637,NE
1173168.210,X_LEG_1,16.54,42.33,-42.83,0,1500,1637,NE
1173168.231,X_LEG_1,16.54,42.33,-42.83,0,1500,1637,NE
1173168.252,X_LEG_1,16.75,42.33,-42.83,0,1500,1636,NE
1173168.272,X_LEG_1,16.75,42.33,-42.83,0,1500,1636,NE
