mono_t,phase,rel_alt_m,distance_m,h_err_deg,yaw_aligned,pitch_us,throttle_us,target
1188698.368,X_LEG_1,14.26,42.74,-43.89,0,1500,1643,NE
1188698.388,X_LEG_1,14.26,42.74,-43.89,0,1500,1643,NE
1188698.409,X_LEG_1,14.26,42.74,-43.89,0,1500,1643,NE
1188698.429,X_LEG_1,14.26,42.74,-43.89,0,1500,1643,NE
1188698.449,X_LEG_1,14.26,42.74,-43.89,0,1500,1643,NE
1188698.470,X_LEG_1,14.26,42.74,-43.89,0,1500,1643,NE
1188698.490,X_LEG_1,14.26,42.74,-43.89,0,1500,1643,NE
1188698.510,X_LEG_1,14.26,42.74,-43.89,0,1500,1643,NE
1188698.531,X_LEG_1,14.26,42.74,-43.89,0,1500,1643,NE
1188698.551,X_LEG_1,14.26,42.74,-43.89,0,1500,1643,NE
1188698.572,X_LEG_1,14.54,42.74,-43.89,0,1500,1642,NE
1188698.592,X_LEG_1,14.54,42.74,-43.89,0,1500,1642,NE
1188698.612,X_LEG_1,14.54,42.74,-43.89,0,1500,1642,NE
1188698.633,X_LEG_1,14.54,42.74,-43.89,0,1500,1642,NE
1188698.654,X_LEG_1,14.54,42.74,-43.89,0,1500,1642,NE
1188698.674,X_LEG_1,14.81,42.74,-43.89,0,1500,1641,NE
1188698.695,X_LEG_1,14.81,42.74,-43.89,0,1500,1641,NE
1188698.716,X_LEG_1,14.81,42.74,-43.89,0,1500,1641,NE
1188698.736,X_LEG_1,14.81,42.74,-43.89,0,1500,1641,NE
1188698.756,X_LEG_1,14.81,42.74,-43.89,0,1500,1641,NE
1188698.776,X_LEG_1,15.09,42.74,-43.89,0,1500,1641,NE
1188698.796,X_LEG_1,15.09,42.74,-43.89,0,1500,1641,NE
1188698.817,X_LEG_1,15.09,42.74,-43.89,0,1500,1641,NE
1188698.837,X_LEG_1,15.09,42.74,-43.89,0,1500,1641,NE
1188698.857,X_LEG_1,15.09,42.74,-43.89,0,1500,1641,NE
1188698.878,X_LEG_1,15.37,42.75,-28.88,0,1500,1640,NE
1188698.898,X_LEG_1,15.37,42.75,-28.88,0,1500,1640,NE
1188698.918,X_LEG_1,15.37,42.75,-28.88,0,1500,1640,NE
1188698.939,X_LEG_1,15.37,42.75,-28.88,0,1500,1640,NE
1188698.959,X_LEG_1,15.37,42.75,-28.88,0,1500,1640,NE
1188698.980,X_LEG_1,15.64,42.75,-28.88,0,1500,1640,NE
1188699.001,X_LEG_1,15.64,42.75,-28.88,0,1500,1640,NE
1188699.021,X_LEG_1,15.64,42.75,-28.88,0,1500,1640,NE
1188699.042,X_LEG_1,15.64,42.75,-28.88,0,1500,1640,NE
1188699.063,X_LEG_1,15.64,42.75,-28.88,0,1500,1640,NE
1188699.083,X_LEG_1,15.92,42.75,-28.88,0,1500,1639,NE
1188699.103,X_LEG_1,15.92,42.75,-28.88,0,1500,1639,NE
1188699.124,X_LEG_1,15.92,42.75,-28.88,0,1500,1639,NE
1188699.144,X_LEG_1,15.92,42.75,-28.88,0,1500,1639,NE
1188699.165,X_LEG_1,15.92,42.75,-28.88,0,1500,1639,NE
1188699.185,X_LEG_1,16.19,42.75,-28.88,0,1500,1638,NE
1188699.206,X_LEG_1,16.19,42.75,-28.88,0,1500,1638,NE
1188699.226,X_LEG_1,16.19,42.75,-28.88,0,1500,1638,NE
1188699.247,X_LEG_1,16.19,42.75,-28.88,0,1500,1638,NE
1188699.267,X_LEG_1,16.19,42.75,-28.88,0,1500,1638,NE
1188699.288,X_LEG_1,16.19,42.75,-28.88,0,1500,1638,NE
1188699.308,X_LEG_1,16.19,42.75,-28.88,0,1500,1638,NE
1188699.329,X_LEG_1,16.19,42.75,-28.88,0,1500,1638,NE
1188699.349,X_LEG_1,16.19,42.75,-28.88,0,1500,1638,NE
1188699.369,X_LEG_1,16.19,42.75,-28.88,0,1500,1638,NE
1188699.389,X_LEG_1,16.46,42.74,2.13,1,1671,1679,NE
1188699.410,X_LEG_1,16.46,42.74,2.13,1,1671,1679,NE
1188699.430,X_LEG_1,16.46,42.74,2.13,1,1671,1679,NE
1188699.451,X_LEG_1,16.46,42.74,2.13,1,1671,1679,NE
1188699.471,X_LEG_1,16.46,42.74,2.13,1,1671,1679,NE
1188699.492,X_LEG_1,16.73,42.74,2.13,1,1671,1678,NE
1188699.512,X_LEG_1,16.73,42.74,2.13,1,1671,1678,NE
1188699.533,X_LEG_1,16.73,42.74,2.13,1,1671,1678,NE
1188699.553,X_LEG_1,16.73,42.74,2.13,1,1671,1678,NE
1188699.574,X_LEG_1,16.73,42.74,2.13,1,1671,1678,NE
1188699.595,X_LEG_1,17.00,42.74,2.13,1,1671,1677,NE
1188699.615,X_LEG_1,17.00,42.74,2.13,1,1671,1677,NE
1188699.636,X_LEG_1,17.00,42.74,2.13,1,1671,1677,NE
1188699.656,X_LEG_1,17.00,42.74,2.13,1,1671,1677,NE
1188699.677,X_LEG_1,17.00,42.74,2.13,1,1671,1677,NE
1188699.697,X_LEG_1,17.27,42.74,2.13,1,1671,1677,NE
1188699.718,X_LEG_1,17.27,42.74,2.13,1,1671,1677,NE
1188699.738,X_LEG_1,17.27,42.74,2.13,1,1671,1677,NE
1188699.759,X_LEG_1,17.27,42.74,2.13,1,1671,1677,NE
1188699.779,X_LEG_1,17.27,42.74,2.13,1,1671,1677,NE
1188699.800,X_LEG_1,17.54,42.74,2.13,1,1671,1676,NE
1188699.820,X_LEG_1,17.54,42.74,2.13,1,1671,1676,NE
1188699.841,X_LEG_1,17.54,42.74,2.13,1,1671,1676,NE
1188699.862,X_LEG_1,17.54,42.74,2.13,1,1671,1676,NE
1188699.882,X_LEG_1,17.54,42.74,2.13,1,1671,1676,NE
1188699.903,X_LEG_1,17.54,42.74,1.13,1,1671,1676,NE
1188699.924,X_LEG_1,17.54,42.74,1.13,1,1671,1676,NE
1188699.944,X_LEG_1,17.54,42.74,1.13,1,1671,1676,NE
1188699.965,X_LEG_1,17.54,42.74,1.13,1,1671,1676,NE
1188699.985,X_LEG_1,17.54,42.74,1.13,1,1671,1676,NE
1188700.005,X_LEG_1,17.81,42.74,1.12,1,1671,1675,NE
1188700.026,X_LEG_1,17.81,42.74,1.12,1,1671,1675,NE
