mono_t,phase,rel_alt_m,distance_m,h_err_deg,yaw_aligned,pitch_us,throttle_us,target
1189126.795,X_LEG_1,14.42,44.00,54.51,0,1500,1642,NE
1189126.816,X_LEG_1,14.42,44.00,54.51,0,1500,1642,NE
1189126.837,X_LEG_1,14.42,44.00,54.51,0,1500,1642,NE
1189126.857,X_LEG_1,14.42,44.00,54.51,0,1500,1642,NE
1189126.878,X_LEG_1,14.42,44.00,54.51,0,1500,1642,NE
1189126.898,X_LEG_1,14.42,44.00,54.51,0,1500,1642,NE
1189126.919,X_LEG_1,14.42,44.00,54.51,0,1500,1642,NE
1189126.940,X_LEG_1,14.42,44.00,54.51,0,1500,1642,NE
1189126.960,X_LEG_1,14.42,44.00,54.51,0,1500,1642,NE
1189126.981,X_LEG_1,14.42,44.00,54.51,0,1500,1642,NE
1189127.002,X_LEG_1,14.63,44.00,54.51,0,1500,1642,NE
1189127.023,X_LEG_1,14.63,44.00,54.51,0,1500,1642,NE
1189127.043,X_LEG_1,14.63,44.00,54.51,0,1500,1642,NE
1189127.064,X_LEG_1,14.63,44.00,54.51,0,1500,1642,NE
1189127.085,X_LEG_1,14.63,44.00,54.51,0,1500,1642,NE
1189127.105,X_LEG_1,14.77,44.00,54.51,0,1500,1641,NE
1189127.127,X_LEG_1,14.77,44.00,54.51,0,1500,1641,NE
1189127.147,X_LEG_1,14.77,44.00,54.51,0,1500,1641,NE
1189127.168,X_LEG_1,14.77,44.00,54.51,0,1500,1641,NE
1189127.189,X_LEG_1,14.77,44.00,54.51,0,1500,1641,NE
1189127.210,X_LEG_1,14.98,44.00,54.49,0,1500,1641,NE
1189127.230,X_LEG_1,14.98,44.00,54.49,0,1500,1641,NE
1189127.251,X_LEG_1,14.98,44.00,54.49,0,1500,1641,NE
1189127.271,X_LEG_1,14.98,44.00,54.49,0,1500,1641,NE
1189127.291,X_LEG_1,14.98,44.00,54.49,0,1500,1641,NE
1189127.312,X_LEG_1,14.98,44.00,41.49,0,1500,1641,NE
1189127.332,X_LEG_1,14.98,44.00,41.49,0,1500,1641,NE
1189127.352,X_LEG_1,14.98,44.00,41.49,0,1500,1641,NE
1189127.374,X_LEG_1,14.98,44.00,41.49,0,1500,1641,NE
1189127.395,X_LEG_1,14.98,44.00,41.49,0,1500,1641,NE
1189127.415,X_LEG_1,15.20,44.00,41.49,0,1500,1641,NE
1189127.436,X_LEG_1,15.20,44.00,41.49,0,1500,1641,NE
1189127.456,X_LEG_1,15.20,44.00,41.49,0,1500,1641,NE
1189127.477,X_LEG_1,15.20,44.00,41.49,0,1500,1641,NE
1189127.498,X_LEG_1,15.20,44.00,41.49,0,1500,1641,NE
1189127.518,X_LEG_1,15.42,43.99,41.48,0,1500,1640,NE
1189127.538,X_LEG_1,15.42,43.99,41.48,0,1500,1640,NE
1189127.559,X_LEG_1,15.42,43.99,41.48,0,1500,1640,NE
1189127.580,X_LEG_1,15.42,43.99,41.48,0,1500,1640,NE
1189127.600,X_LEG_1,15.42,43.99,41.48,0,1500,1640,NE
1189127.621,X_LEG_1,15.56,43.99,41.48,0,1500,1640,NE
1189127.641,X_LEG_1,15.56,43.99,41.48,0,1500,1640,NE
1189127.662,X_LEG_1,15.56,43.99,41.48,0,1500,1640,NE
1189127.682,X_LEG_1,15.56,43.99,41.48,0,1500,1640,NE
1189127.703,X_LEG_1,15.56,43.99,41.48,0,1500,1640,NE
1189127.723,X_LEG_1,15.56,43.99,41.48,0,1500,1640,NE
1189127.744,X_LEG_1,15.56,43.99,41.48,0,1500,1640,NE
1189127.764,X_LEG_1,15.56,43.99,41.48,0,1500,1640,NE
1189127.785,X_LEG_1,15.56,43.99,41.48,0,1500,1640,NE
1189127.805,X_LEG_1,15.56,43.99,41.48,0,1500,1640,NE
1189127.826,X_LEG_1,15.78,43.99,41.48,0,1500,1639,NE
1189127.847,X_LEG_1,15.78,43.99,41.48,0,1500,1639,NE
1189127.867,X_LEG_1,15.78,43.99,41.48,0,1500,1639,NE
1189127.887,X_LEG_1,15.78,43.99,41.48,0,1500,1639,NE
1189127.908,X_LEG_1,15.78,43.99,41.48,0,1500,1639,NE
1189127.928,X_LEG_1,15.93,43.99,9.47,1,1676,1665,NE
1189127.950,X_LEG_1,15.93,43.99,9.47,1,1676,1665,NE
1189127.970,X_LEG_1,15.93,43.99,9.47,1,1676,1665,NE
1189127.991,X_LEG_1,15.93,43.99,9.47,1,1676,1665,NE
1189128.011,X_LEG_1,15.93,43.99,9.47,1,1676,1665,NE
1189128.032,X_LEG_1,16.15,43.99,9.47,1,1676,1664,NE
1189128.052,X_LEG_1,16.15,43.99,9.47,1,1676,1664,NE
1189128.073,X_LEG_1,16.15,43.99,9.47,1,1676,1664,NE
1189128.093,X_LEG_1,16.15,43.99,9.47,1,1676,1664,NE
1189128.114,X_LEG_1,16.15,43.99,9.47,1,1676,1664,NE
1189128.134,X_LEG_1,16.30,43.99,9.47,1,1676,1664,NE
1189128.155,X_LEG_1,16.30,43.99,9.47,1,1676,1664,NE
1189128.176,X_LEG_1,16.30,43.99,9.47,1,1676,1664,NE
1189128.196,X_LEG_1,16.30,43.99,9.47,1,1676,1664,NE
1189128.216,X_LEG_1,16.30,43.99,9.47,1,1676,1664,NE
1189128.237,X_LEG_1,16.45,43.99,9.46,1,1676,1663,NE
1189128.257,X_LEG_1,16.45,43.99,9.46,1,1676,1663,NE
1189128.278,X_LEG_1,16.45,43.99,9.46,1,1676,1663,NE
1189128.298,X_LEG_1,16.45,43.99,9.46,1,1676,1663,NE
1189128.319,X_LEG_1,16.45,43.99,9.46,1,1676,1663,NE
1189128.339,X_LEG_1,16.60,43.99,9.46,1,1676,1663,NE
1189128.360,X_LEG_1,16.60,43.99,9.46,1,1676,1663,NE
1189128.380,X_LEG_1,16.60,43.99,9.46,1,1676,1663,NE
1189128.401,X_LEG_1,16.60,43.99,9.46,1,1676,1663,NE
1189128.422,X_LEG_1,16.60,43.99,9.46,1,1676,1663,NE
1189128.442,X_LEG_1,16.75,43.99,9.46,1,1676,1662,NE
1189128.463,X_LEG_1,16.75,43.99,9.46,1,1676,1662,NE
1189128.483,X_LEG_1,16.75,43.99,9.46,1,1676,1662,NE
1189128.504,X_LEG_1,16.75,43.99,9.46,1,1676,1662,NE
1189128.524,X_LEG_1,16.75,43.99,9.46,1,1676,1662,NE
1189128.545,X_LEG_1,16.90,43.98,9.47,1,1676,1662,NE
1189128.565,X_LEG_1,16.90,43.98,9.47,1,1676,1662,NE
1189128.586,X_LEG_1,16.90,43.98,9.47,1,1676,1662,NE
1189128.607,X_LEG_1,16.90,43.98,9.47,1,1676,1662,NE
1189128.627,X_LEG_1,16.90,43.98,9.47,1,1676,1662,NE
1189128.648,X_LEG_1,16.90,43.98,8.47,1,1676,1662,NE
1189128.668,X_LEG_1,16.90,43.98,8.47,1,1676,1662,NE
1189128.689,X_LEG_1,16.90,43.98,8.47,1,1676,1662,NE
1189128.709,X_LEG_1,16.90,43.98,8.47,1,1676,1662,NE
1189128.730,X_LEG_1,16.90,43.98,8.47,1,1676,1662,NE
1189128.750,X_LEG_1,17.05,43.98,8.47,1,1676,1661,NE
