mono_t,phase,rel_alt_m,distance_m,h_err_deg,yaw_aligned,pitch_us,throttle_us,target
1172799.913,X_LEG_1,14.29,42.74,-43.98,0,1500,1643,NE
1172799.934,X_LEG_1,14.29,42.74,-43.98,0,1500,1643,NE
1172799.955,X_LEG_1,14.29,42.74,-43.98,0,1500,1643,NE
1172799.975,X_LEG_1,14.29,42.74,-43.98,0,1500,1643,NE
1172799.996,X_LEG_1,14.29,42.74,-43.98,0,1500,1643,NE
1172800.017,X_LEG_1,14.42,42.74,-43.98,0,1500,1642,NE
1172800.037,X_LEG_1,14.42,42.74,-43.98,0,1500,1642,NE
1172800.057,X_LEG_1,14.42,42.74,-43.98,0,1500,1642,NE
1172800.078,X_LEG_1,14.42,42.74,-43.98,0,1500,1642,NE
1172800.098,X_LEG_1,14.42,42.74,-43.98,0,1500,1642,NE
1172800.119,X_LEG_1,14.56,42.75,-43.99,0,1500,1642,NE
1172800.139,X_LEG_1,14.56,42.75,-43.99,0,1500,1642,NE
1172800.160,X_LEG_1,14.56,42.75,-43.99,0,1500,1642,NE
1172800.180,X_LEG_1,14.56,42.75,-43.99,0,1500,1642,NE
1172800.200,X_LEG_1,14.56,42.75,-43.99,0,1500,1642,NE
1172800.221,X_LEG_1,14.70,42.75,-43.99,0,1500,1641,NE
1172800.241,X_LEG_1,14.70,42.75,-43.99,0,1500,1641,NE
1172800.261,X_LEG_1,14.70,42.75,-43.99,0,1500,1641,NE
1172800.282,X_LEG_1,14.70,42.75,-43.99,0,1500,1641,NE
1172800.302,X_LEG_1,14.70,42.75,-43.99,0,1500,1641,NE
1172800.322,X_LEG_1,14.70,42.75,-43.99,0,1500,1641,NE
1172800.343,X_LEG_1,14.70,42.75,-43.99,0,1500,1641,NE
1172800.363,X_LEG_1,14.70,42.75,-43.99,0,1500,1641,NE
1172800.384,X_LEG_1,14.70,42.75,-43.99,0,1500,1641,NE
1172800.404,X_LEG_1,14.70,42.75,-43.99,0,1500,1641,NE
1172800.425,X_LEG_1,14.84,42.75,-43.99,0,1500,1641,NE
1172800.445,X_LEG_1,14.84,42.75,-43.99,0,1500,1641,NE
1172800.466,X_LEG_1,14.84,42.75,-43.99,0,1500,1641,NE
1172800.487,X_LEG_1,14.84,42.75,-43.99,0,1500,1641,NE
1172800.507,X_LEG_1,14.84,42.75,-43.99,0,1500,1641,NE
1172800.528,X_LEG_1,14.97,42.75,-43.99,0,1500,1641,NE
1172800.548,X_LEG_1,14.97,42.75,-43.99,0,1500,1641,NE
1172800.569,X_LEG_1,14.97,42.75,-43.99,0,1500,1641,NE
1172800.590,X_LEG_1,14.97,42.75,-43.99,0,1500,1641,NE
1172800.611,X_LEG_1,14.97,42.75,-43.99,0,1500,1641,NE
1172800.631,X_LEG_1,15.11,42.75,-32.99,0,1500,1641,NE
1172800.652,X_LEG_1,15.11,42.75,-32.99,0,1500,1641,NE
1172800.672,X_LEG_1,15.11,42.75,-32.99,0,1500,1641,NE
1172800.693,X_LEG_1,15.11,42.75,-32.99,0,1500,1641,NE
1172800.713,X_LEG_1,15.11,42.75,-32.99,0,1500,1641,NE
1172800.734,X_LEG_1,15.25,42.75,-32.99,0,1500,1641,NE
1172800.754,X_LEG_1,15.25,42.75,-32.99,0,1500,1641,NE
1172800.775,X_LEG_1,15.25,42.75,-32.99,0,1500,1641,NE
1172800.795,X_LEG_1,15.25,42.75,-32.99,0,1500,1641,NE
1172800.816,X_LEG_1,15.25,42.75,-32.99,0,1500,1641,NE
1172800.836,X_LEG_1,15.39,42.75,-32.99,0,1500,1640,NE
1172800.856,X_LEG_1,15.39,42.75,-32.99,0,1500,1640,NE
1172800.876,X_LEG_1,15.39,42.75,-32.99,0,1500,1640,NE
1172800.897,X_LEG_1,15.39,42.75,-32.99,0,1500,1640,NE
1172800.917,X_LEG_1,15.39,42.75,-32.99,0,1500,1640,NE
1172800.937,X_LEG_1,15.53,42.75,-32.99,0,1500,1640,NE
1172800.958,X_LEG_1,15.53,42.75,-32.99,0,1500,1640,NE
1172800.979,X_LEG_1,15.53,42.75,-32.99,0,1500,1640,NE
1172801.000,X_LEG_1,15.53,42.75,-32.99,0,1500,1640,NE
1172801.020,X_LEG_1,15.53,42.75,-32.99,0,1500,1640,NE
1172801.041,X_LEG_1,15.67,42.75,-32.99,0,1500,1639,NE
1172801.061,X_LEG_1,15.67,42.75,-32.99,0,1500,1639,NE
1172801.082,X_LEG_1,15.67,42.75,-32.99,0,1500,1639,NE
1172801.102,X_LEG_1,15.67,42.75,-32.99,0,1500,1639,NE
1172801.122,X_LEG_1,15.67,42.75,-32.99,0,1500,1639,NE
1172801.143,X_LEG_1,15.81,42.75,-14.99,1,1585,1639,NE
1172801.163,X_LEG_1,15.81,42.75,-14.99,1,1585,1639,NE
1172801.183,X_LEG_1,15.81,42.75,-14.99,1,1585,1639,NE
1172801.203,X_LEG_1,15.81,42.75,-14.99,1,1585,1639,NE
1172801.224,X_LEG_1,15.81,42.75,-14.99,1,1585,1639,NE
1172801.244,X_LEG_1,15.94,42.75,-14.99,1,1585,1639,NE
1172801.264,X_LEG_1,15.94,42.75,-14.99,1,1585,1639,NE
1172801.285,X_LEG_1,15.94,42.75,-14.99,1,1585,1639,NE
1172801.305,X_LEG_1,15.94,42.75,-14.99,1,1585,1639,NE
1172801.326,X_LEG_1,15.94,42.75,-14.99,1,1585,1639,NE
1172801.346,X_LEG_1,16.08,42.75,-14.99,1,1585,1638,NE
1172801.367,X_LEG_1,16.08,42.75,-14.99,1,1585,1638,NE
1172801.388,X_LEG_1,16.08,42.75,-14.99,1,1585,1638,NE
1172801.408,X_LEG_1,16.08,42.75,-14.99,1,1585,1638,NE
1172801.428,X_LEG_1,16.08,42.75,-14.99,1,1585,1638,NE
1172801.449,X_LEG_1,16.22,42.75,-14.99,1,1585,1638,NE
1172801.469,X_LEG_1,16.22,42.75,-14.99,1,1585,1638,NE
1172801.490,X_LEG_1,16.22,42.75,-14.99,1,1585,1638,NE
1172801.510,X_LEG_1,16.22,42.75,-14.99,1,1585,1638,NE
1172801.531,X_LEG_1,16.22,42.75,-14.99,1,1585,1638,NE
1172801.551,X_LEG_1,16.36,42.75,-14.99,1,1585,1637,NE
1172801.571,X_LEG_1,16.36,42.75,-14.99,1,1585,1637,NE
1172801.592,X_LEG_1,16.36,42.75,-14.99,1,1585,1637,NE
1172801.612,X_LEG_1,16.36,42.75,-14.99,1,1585,1637,NE
1172801.632,X_LEG_1,16.36,42.75,-14.99,1,1585,1637,NE
1172801.653,X_LEG_1,16.49,42.75,-12.99,1,1585,1637,NE
1172801.673,X_LEG_1,16.49,42.75,-12.99,1,1585,1637,NE
1172801.694,X_LEG_1,16.49,42.75,-12.99,1,1585,1637,NE
1172801.714,X_LEG_1,16.49,42.75,-12.99,1,1585,1637,NE
1172801.735,X_LEG_1,16.49,42.75,-12.99,1,1585,1637,NE
1172801.755,X_LEG_1,16.63,42.75,-12.99,1,1585,1637,NE
1172801.776,X_LEG_1,16.63,42.75,-12.99,1,1585,1637,NE
1172801.796,X_LEG_1,16.63,42.75,-12.99,1,1585,1637,NE
1172801.817,X_LEG_1,16.63,42.75,-12.99,1,1585,1637,NE
1172801.837,X_LEG_1,16.63,42.75,-12.99,1,1585,1637,NE
1172801.858,X_LEG_1,16.77,42.75,-12.99,1,1585,1636,NE
1172801.878,X_LEG_1,16.77,42.75,-12.99,1,1585,1636,NE
1172801.898,X_LEG_1,16.77,42.75,-12.99,1,1585,1636,NE
1172801.919,X_LEG_1,16.77,42.75,-12.99,1,1585,1636,NE
1172801.939,X_LEG_1,16.77,42.75,-12.99,1,1585,1636,NE
1172801.960,X_LEG_1,16.77,42.75,-12.99,1,1585,1636,NE
1172801.981,X_LEG_1,16.77,42.75,-12.99,1,1585,1636,NE
1172802.001,X_LEG_1,16.77,42.75,-12.99,1,1585,1636,NE
1172802.021,X_LEG_1,16.77,42.75,-12.99,1,1585,1636,NE
1172802.041,X_LEG_1,16.77,42.75,-12.99,1,1585,1636,NE
1172802.061,X_LEG_1,16.90,42.74,-13.00,1,1585,1636,NE
1172802.082,X_LEG_1,16.90,42.74,-13.00,1,1585,1636,NE
1172802.102,X_LEG_1,16.90,42.74,-13.00,1,1585,1636,NE
1172802.123,X_LEG_1,16.90,42.74,-13.00,1,1585,1636,NE
1172802.143,X_LEG_1,16.90,42.74,-13.00,1,1585,1636,NE
1172802.164,X_LEG_1,17.04,42.74,-15.00,1,1585,1635,NE
1172802.184,X_LEG_1,17.04,42.74,-15.00,1,1585,1635,NE
1172802.204,X_LEG_1,17.04,42.74,-15.00,1,1585,1635,NE
1172802.224,X_LEG_1,17.04,42.74,-15.00,1,1585,1635,NE
1172802.245,X_LEG_1,17.04,42.74,-15.00,1,1585,1635,NE
1172802.266,X_LEG_1,17.17,42.74,-15.00,1,1585,1635,NE
1172802.286,X_LEG_1,17.17,42.74,-15.00,1,1585,1635,NE
1172802.307,X_LEG_1,17.17,42.74,-15.00,1,1585,1635,NE
1172802.328,X_LEG_1,17.17,42.74,-15.00,1,1585,1635,NE
1172802.348,X_LEG_1,17.17,42.74,-15.00,1,1585,1635,NE
1172802.369,X_LEG_1,17.31,42.74,-15.00,1,1585,1635,NE
1172802.389,X_LEG_1,17.31,42.74,-15.00,1,1585,1635,NE
1172802.409,X_LEG_1,17.31,42.74,-15.00,1,1585,1635,NE
1172802.430,X_LEG_1,17.31,42.74,-15.00,1,1585,1635,NE
1172802.450,X_LEG_1,17.31,42.74,-15.00,1,1585,1635,NE
1172802.471,X_LEG_1,17.44,42.74,-15.01,1,1585,1634,NE
1172802.491,X_LEG_1,17.44,42.74,-15.01,1,1585,1634,NE
1172802.512,X_LEG_1,17.44,42.74,-15.01,1,1585,1634,NE
1172802.532,X_LEG_1,17.44,42.74,-15.01,1,1585,1634,NE
1172802.553,X_LEG_1,17.44,42.74,-15.01,1,1585,1634,NE
1172802.573,X_LEG_1,17.64,42.74,-15.01,1,1585,1634,NE
1172802.594,X_LEG_1,17.64,42.74,-15.01,1,1585,1634,NE
1172802.614,X_LEG_1,17.64,42.74,-15.01,1,1585,1634,NE
1172802.634,X_LEG_1,17.64,42.74,-15.01,1,1585,1634,NE
1172802.655,X_LEG_1,17.64,42.74,-15.01,1,1585,1634,NE
1172802.675,X_LEG_1,17.77,42.73,-11.01,1,1585,1633,NE
1172802.695,X_LEG_1,17.77,42.73,-11.01,1,1585,1633,NE
1172802.716,X_LEG_1,17.77,42.73,-11.01,1,1585,1633,NE
1172802.736,X_LEG_1,17.77,42.73,-11.01,1,1585,1633,NE
1172802.757,X_LEG_1,17.77,42.73,-11.01,1,1585,1633,NE
1172802.778,X_LEG_1,17.90,42.73,-11.01,1,1585,1633,NE
1172802.798,X_LEG_1,17.90,42.73,-11.01,1,1585,1633,NE
1172802.819,X_LEG_1,17.90,42.73,-11.01,1,1585,1633,NE
1172802.839,X_LEG_1,17.90,42.73,-11.01,1,1585,1633,NE
1172802.860,X_LEG_1,17.90,42.73,-11.01,1,1585,1633,NE
1172802.880,X_LEG_1,17.90,42.73,-11.01,1,1585,1633,NE
1172802.901,X_LEG_1,17.90,42.73,-11.01,1,1585,1633,NE
1172802.922,X_LEG_1,17.90,42.73,-11.01,1,1585,1633,NE
1172802.942,X_LEG_1,17.90,42.73,-11.01,1,1585,1633,NE
1172802.963,X_LEG_1,17.90,42.73,-11.01,1,1585,1633,NE
1172802.983,X_LEG_1,18.03,42.72,-11.02,1,1585,1632,NE
1172803.003,X_LEG_1,18.03,42.72,-11.02,1,1585,1632,NE
1172803.024,X_LEG_1,18.03,42.72,-11.02,1,1585,1632,NE
1172803.044,X_LEG_1,18.03,42.72,-11.02,1,1585,1632,NE
1172803.064,X_LEG_1,18.03,42.72,-11.02,1,1585,1632,NE
1172803.085,X_LEG_1,18.16,42.72,-11.02,1,1585,1632,NE
1172803.105,X_LEG_1,18.16,42.72,-11.02,1,1585,1632,NE
1172803.126,X_LEG_1,18.16,42.72,-11.02,1,1585,1632,NE
1172803.146,X_LEG_1,18.16,42.72,-11.02,1,1585,1632,NE
1172803.166,X_LEG_1,18.16,42.72,-11.02,1,1585,1632,NE
1172803.187,X_LEG_1,18.29,42.71,-11.02,1,1585,1632,NE
1172803.207,X_LEG_1,18.29,42.71,-11.02,1,1585,1632,NE
1172803.228,X_LEG_1,18.29,42.71,-11.02,1,1585,1632,NE
1172803.248,X_LEG_1,18.29,42.71,-11.02,1,1585,1632,NE
1172803.269,X_LEG_1,18.29,42.71,-11.02,1,1585,1632,NE
1172803.289,X_LEG_1,18.42,42.71,-8.02,1,1585,1631,NE
1172803.311,X_LEG_1,18.42,42.71,-8.02,1,1585,1631,NE
1172803.331,X_LEG_1,18.42,42.71,-8.02,1,1585,1631,NE
