mono_t,phase,rel_alt_m,distance_m,h_err_deg,yaw_aligned,pitch_us,throttle_us,target
1175113.743,X_LEG_1,14.27,42.73,-43.95,0,1500,1643,NE
1175113.764,X_LEG_1,14.27,42.73,-43.95,0,1500,1643,NE
1175113.784,X_LEG_1,14.27,42.73,-43.95,0,1500,1643,NE
1175113.805,X_LEG_1,14.27,42.73,-43.95,0,1500,1643,NE
1175113.825,X_LEG_1,14.27,42.73,-43.95,0,1500,1643,NE
1175113.846,X_LEG_1,14.41,42.73,-43.95,0,1500,1642,NE
1175113.866,X_LEG_1,14.41,42.73,-43.95,0,1500,1642,NE
1175113.887,X_LEG_1,14.41,42.73,-43.95,0,1500,1642,NE
1175113.907,X_LEG_1,14.41,42.73,-43.95,0,1500,1642,NE
1175113.928,X_LEG_1,14.41,42.73,-43.95,0,1500,1642,NE
1175113.948,X_LEG_1,14.55,42.73,-43.95,0,1500,1642,NE
1175113.969,X_LEG_1,14.55,42.73,-43.95,0,1500,1642,NE
1175113.989,X_LEG_1,14.55,42.73,-43.95,0,1500,1642,NE
1175114.010,X_LEG_1,14.55,42.73,-43.95,0,1500,1642,NE
1175114.030,X_LEG_1,14.55,42.73,-43.95,0,1500,1642,NE
1175114.051,X_LEG_1,14.69,42.73,-43.95,0,1500,1641,NE
1175114.071,X_LEG_1,14.69,42.73,-43.95,0,1500,1641,NE
1175114.092,X_LEG_1,14.69,42.73,-43.95,0,1500,1641,NE
1175114.112,X_LEG_1,14.69,42.73,-43.95,0,1500,1641,NE
1175114.132,X_LEG_1,14.69,42.73,-43.95,0,1500,1641,NE
1175114.152,X_LEG_1,14.83,42.73,-43.95,0,1500,1641,NE
1175114.173,X_LEG_1,14.83,42.73,-43.95,0,1500,1641,NE
1175114.193,X_LEG_1,14.83,42.73,-43.95,0,1500,1641,NE
1175114.214,X_LEG_1,14.83,42.73,-43.95,0,1500,1641,NE
1175114.234,X_LEG_1,14.83,42.73,-43.95,0,1500,1641,NE
1175114.255,X_LEG_1,14.96,42.73,-39.95,0,1500,1641,NE
1175114.275,X_LEG_1,14.96,42.73,-39.95,0,1500,1641,NE
1175114.295,X_LEG_1,14.96,42.73,-39.95,0,1500,1641,NE
1175114.316,X_LEG_1,14.96,42.73,-39.95,0,1500,1641,NE
1175114.337,X_LEG_1,14.96,42.73,-39.95,0,1500,1641,NE
1175114.357,X_LEG_1,15.10,42.73,-39.95,0,1500,1641,NE
1175114.378,X_LEG_1,15.10,42.73,-39.95,0,1500,1641,NE
1175114.398,X_LEG_1,15.10,42.73,-39.95,0,1500,1641,NE
1175114.419,X_LEG_1,15.10,42.73,-39.95,0,1500,1641,NE
1175114.439,X_LEG_1,15.10,42.73,-39.95,0,1500,1641,NE
1175114.460,X_LEG_1,15.24,42.73,-39.95,0,1500,1641,NE
1175114.480,X_LEG_1,15.24,42.73,-39.95,0,1500,1641,NE
1175114.501,X_LEG_1,15.24,42.73,-39.95,0,1500,1641,NE
1175114.521,X_LEG_1,15.24,42.73,-39.95,0,1500,1641,NE
1175114.542,X_LEG_1,15.24,42.73,-39.95,0,1500,1641,NE
1175114.562,X_LEG_1,15.38,42.73,-39.95,0,1500,1640,NE
1175114.583,X_LEG_1,15.38,42.73,-39.95,0,1500,1640,NE
1175114.603,X_LEG_1,15.38,42.73,-39.95,0,1500,1640,NE
1175114.623,X_LEG_1,15.38,42.73,-39.95,0,1500,1640,NE
1175114.644,X_LEG_1,15.38,42.73,-39.95,0,1500,1640,NE
1175114.665,X_LEG_1,15.52,42.74,-39.94,0,1500,1640,NE
1175114.685,X_LEG_1,15.52,42.74,-39.94,0,1500,1640,NE
1175114.706,X_LEG_1,15.52,42.74,-39.94,0,1500,1640,NE
1175114.726,X_LEG_1,15.52,42.74,-39.94,0,1500,1640,NE
1175114.746,X_LEG_1,15.52,42.74,-39.94,0,1500,1640,NE
1175114.767,X_LEG_1,15.66,42.74,-16.94,1,1671,1640,NE
1175114.788,X_LEG_1,15.66,42.74,-16.94,1,1671,1640,NE
1175114.808,X_LEG_1,15.66,42.74,-16.94,1,1671,1640,NE
1175114.828,X_LEG_1,15.66,42.74,-16.94,1,1671,1640,NE
1175114.849,X_LEG_1,15.66,42.74,-16.94,1,1671,1640,NE
1175114.869,X_LEG_1,15.80,42.74,-16.94,1,1671,1639,NE
1175114.889,X_LEG_1,15.80,42.74,-16.94,1,1671,1639,NE
1175114.910,X_LEG_1,15.80,42.74,-16.94,1,1671,1639,NE
1175114.930,X_LEG_1,15.80,42.74,-16.94,1,1671,1639,NE
1175114.951,X_LEG_1,15.80,42.74,-16.94,1,1671,1639,NE
1175114.971,X_LEG_1,15.80,42.74,-16.94,1,1671,1639,NE
1175114.991,X_LEG_1,15.80,42.74,-16.94,1,1671,1639,NE
1175115.012,X_LEG_1,15.80,42.74,-16.94,1,1671,1639,NE
1175115.032,X_LEG_1,15.80,42.74,-16.94,1,1671,1639,NE
1175115.052,X_LEG_1,15.80,42.74,-16.94,1,1671,1639,NE
1175115.073,X_LEG_1,16.01,42.74,-16.94,1,1671,1638,NE
1175115.093,X_LEG_1,16.01,42.74,-16.94,1,1671,1638,NE
1175115.114,X_LEG_1,16.01,42.74,-16.94,1,1671,1638,NE
1175115.135,X_LEG_1,16.01,42.74,-16.94,1,1671,1638,NE
1175115.155,X_LEG_1,16.01,42.74,-16.94,1,1671,1638,NE
1175115.176,X_LEG_1,16.15,42.74,-16.94,1,1671,1638,NE
1175115.196,X_LEG_1,16.15,42.74,-16.94,1,1671,1638,NE
1175115.217,X_LEG_1,16.15,42.74,-16.94,1,1671,1638,NE
1175115.237,X_LEG_1,16.15,42.74,-16.94,1,1671,1638,NE
1175115.258,X_LEG_1,16.15,42.74,-16.94,1,1671,1638,NE
1175115.278,X_LEG_1,16.29,42.74,-9.94,1,1671,1638,NE
1175115.300,X_LEG_1,16.29,42.74,-9.94,1,1671,1638,NE
1175115.320,X_LEG_1,16.29,42.74,-9.94,1,1671,1638,NE
1175115.341,X_LEG_1,16.29,42.74,-9.94,1,1671,1638,NE
1175115.361,X_LEG_1,16.29,42.74,-9.94,1,1671,1638,NE
1175115.382,X_LEG_1,16.44,42.74,-9.94,1,1671,1637,NE
1175115.402,X_LEG_1,16.44,42.74,-9.94,1,1671,1637,NE
1175115.423,X_LEG_1,16.44,42.74,-9.94,1,1671,1637,NE
1175115.443,X_LEG_1,16.44,42.74,-9.94,1,1671,1637,NE
1175115.463,X_LEG_1,16.44,42.74,-9.94,1,1671,1637,NE
1175115.484,X_LEG_1,16.58,42.74,-9.94,1,1671,1637,NE
1175115.504,X_LEG_1,16.58,42.74,-9.94,1,1671,1637,NE
1175115.525,X_LEG_1,16.58,42.74,-9.94,1,1671,1637,NE
1175115.545,X_LEG_1,16.58,42.74,-9.94,1,1671,1637,NE
1175115.566,X_LEG_1,16.58,42.74,-9.94,1,1671,1637,NE
1175115.586,X_LEG_1,16.72,42.73,-9.95,1,1671,1636,NE
1175115.606,X_LEG_1,16.72,42.73,-9.95,1,1671,1636,NE
1175115.627,X_LEG_1,16.72,42.73,-9.95,1,1671,1636,NE
1175115.648,X_LEG_1,16.72,42.73,-9.95,1,1671,1636,NE
1175115.668,X_LEG_1,16.72,42.73,-9.95,1,1671,1636,NE
1175115.689,X_LEG_1,16.86,42.73,-9.95,1,1671,1636,NE
1175115.710,X_LEG_1,16.86,42.73,-9.95,1,1671,1636,NE
1175115.730,X_LEG_1,16.86,42.73,-9.95,1,1671,1636,NE
1175115.751,X_LEG_1,16.86,42.73,-9.95,1,1671,1636,NE
1175115.771,X_LEG_1,16.86,42.73,-9.95,1,1671,1636,NE
1175115.791,X_LEG_1,16.86,42.73,-13.95,1,1671,1636,NE
1175115.812,X_LEG_1,16.86,42.73,-13.95,1,1671,1636,NE
1175115.832,X_LEG_1,16.86,42.73,-13.95,1,1671,1636,NE
1175115.853,X_LEG_1,16.86,42.73,-13.95,1,1671,1636,NE
1175115.873,X_LEG_1,16.86,42.73,-13.95,1,1671,1636,NE
1175115.893,X_LEG_1,17.07,42.72,-13.95,1,1671,1635,NE
1175115.914,X_LEG_1,17.07,42.72,-13.95,1,1671,1635,NE
1175115.934,X_LEG_1,17.07,42.72,-13.95,1,1671,1635,NE
1175115.956,X_LEG_1,17.07,42.72,-13.95,1,1671,1635,NE
1175115.976,X_LEG_1,17.07,42.72,-13.95,1,1671,1635,NE
1175115.997,X_LEG_1,17.21,42.72,-13.95,1,1671,1635,NE
1175116.017,X_LEG_1,17.21,42.72,-13.95,1,1671,1635,NE
1175116.038,X_LEG_1,17.21,42.72,-13.95,1,1671,1635,NE
1175116.058,X_LEG_1,17.21,42.72,-13.95,1,1671,1635,NE
1175116.079,X_LEG_1,17.21,42.72,-13.95,1,1671,1635,NE
1175116.099,X_LEG_1,17.35,42.71,-13.96,1,1671,1634,NE
1175116.119,X_LEG_1,17.35,42.71,-13.96,1,1671,1634,NE
1175116.140,X_LEG_1,17.35,42.71,-13.96,1,1671,1634,NE
1175116.160,X_LEG_1,17.35,42.71,-13.96,1,1671,1634,NE
1175116.181,X_LEG_1,17.35,42.71,-13.96,1,1671,1634,NE
1175116.202,X_LEG_1,17.49,42.70,-13.95,1,1671,1634,NE
1175116.222,X_LEG_1,17.49,42.70,-13.95,1,1671,1634,NE
1175116.243,X_LEG_1,17.49,42.70,-13.95,1,1671,1634,NE
1175116.263,X_LEG_1,17.49,42.70,-13.95,1,1671,1634,NE
1175116.283,X_LEG_1,17.49,42.70,-13.95,1,1671,1634,NE
1175116.304,X_LEG_1,17.63,42.69,-7.96,1,1671,1634,NE
1175116.324,X_LEG_1,17.63,42.69,-7.96,1,1671,1634,NE
1175116.345,X_LEG_1,17.63,42.69,-7.96,1,1671,1634,NE
1175116.365,X_LEG_1,17.63,42.69,-7.96,1,1671,1634,NE
1175116.386,X_LEG_1,17.63,42.69,-7.96,1,1671,1634,NE
1175116.406,X_LEG_1,17.76,42.67,-7.97,1,1671,1633,NE
1175116.427,X_LEG_1,17.76,42.67,-7.97,1,1671,1633,NE
1175116.447,X_LEG_1,17.76,42.67,-7.97,1,1671,1633,NE
1175116.468,X_LEG_1,17.76,42.67,-7.97,1,1671,1633,NE
1175116.489,X_LEG_1,17.76,42.67,-7.97,1,1671,1633,NE
1175116.509,X_LEG_1,17.90,42.66,-7.96,1,1671,1633,NE
1175116.529,X_LEG_1,17.90,42.66,-7.96,1,1671,1633,NE
1175116.549,X_LEG_1,17.90,42.66,-7.96,1,1671,1633,NE
1175116.570,X_LEG_1,17.90,42.66,-7.96,1,1671,1633,NE
1175116.590,X_LEG_1,17.90,42.66,-7.96,1,1671,1633,NE
1175116.610,X_LEG_1,18.03,42.64,-7.97,1,1671,1632,NE
1175116.631,X_LEG_1,18.03,42.64,-7.97,1,1671,1632,NE
1175116.651,X_LEG_1,18.03,42.64,-7.97,1,1671,1632,NE
1175116.671,X_LEG_1,18.03,42.64,-7.97,1,1671,1632,NE
1175116.692,X_LEG_1,18.03,42.64,-7.97,1,1671,1632,NE
1175116.712,X_LEG_1,18.03,42.64,-7.97,1,1671,1632,NE
1175116.733,X_LEG_1,18.03,42.64,-7.97,1,1671,1632,NE
1175116.753,X_LEG_1,18.03,42.64,-7.97,1,1671,1632,NE
1175116.774,X_LEG_1,18.03,42.64,-7.97,1,1671,1632,NE
1175116.795,X_LEG_1,18.03,42.64,-7.97,1,1671,1632,NE
1175116.815,X_LEG_1,18.17,42.62,-7.97,1,1670,1632,NE
1175116.836,X_LEG_1,18.17,42.62,-7.97,1,1670,1632,NE
1175116.857,X_LEG_1,18.17,42.62,-7.97,1,1670,1632,NE
1175116.877,X_LEG_1,18.17,42.62,-7.97,1,1670,1632,NE
1175116.897,X_LEG_1,18.17,42.62,-7.97,1,1670,1632,NE
1175116.918,X_LEG_1,18.30,42.60,-7.97,1,1670,1632,NE
1175116.938,X_LEG_1,18.30,42.60,-7.97,1,1670,1632,NE
1175116.959,X_LEG_1,18.30,42.60,-7.97,1,1670,1632,NE
1175116.979,X_LEG_1,18.30,42.60,-7.97,1,1670,1632,NE
1175117.000,X_LEG_1,18.30,42.60,-7.97,1,1670,1632,NE
1175117.020,X_LEG_1,18.43,42.59,-7.98,1,1670,1631,NE
1175117.041,X_LEG_1,18.43,42.59,-7.98,1,1670,1631,NE
1175117.061,X_LEG_1,18.43,42.59,-7.98,1,1670,1631,NE
1175117.081,X_LEG_1,18.43,42.59,-7.98,1,1670,1631,NE
1175117.102,X_LEG_1,18.43,42.59,-7.98,1,1670,1631,NE
1175117.122,X_LEG_1,18.57,42.57,-7.98,1,1670,1631,NE
1175117.143,X_LEG_1,18.57,42.57,-7.98,1,1670,1631,NE
1175117.163,X_LEG_1,18.57,42.57,-7.98,1,1670,1631,NE
1175117.184,X_LEG_1,18.57,42.57,-7.98,1,1670,1631,NE
1175117.204,X_LEG_1,18.57,42.57,-7.98,1,1670,1631,NE
1175117.224,X_LEG_1,18.70,42.54,-8.00,1,1670,1630,NE
1175117.245,X_LEG_1,18.70,42.54,-8.00,1,1670,1630,NE
1175117.265,X_LEG_1,18.70,42.54,-8.00,1,1670,1630,NE
1175117.286,X_LEG_1,18.70,42.54,-8.00,1,1670,1630,NE
1175117.306,X_LEG_1,18.70,42.54,-8.00,1,1670,1630,NE
1175117.326,X_LEG_1,18.83,42.52,-8.00,1,1670,1630,NE
1175117.347,X_LEG_1,18.83,42.52,-8.00,1,1670,1630,NE
1175117.368,X_LEG_1,18.83,42.52,-8.00,1,1670,1630,NE
1175117.388,X_LEG_1,18.83,42.52,-8.00,1,1670,1630,NE
1175117.409,X_LEG_1,18.83,42.52,-8.00,1,1670,1630,NE
1175117.429,X_LEG_1,18.96,42.50,-7.01,1,1670,1630,NE
1175117.450,X_LEG_1,18.96,42.50,-7.01,1,1670,1630,NE
1175117.470,X_LEG_1,18.96,42.50,-7.01,1,1670,1630,NE
1175117.490,X_LEG_1,18.96,42.50,-7.01,1,1670,1630,NE
1175117.510,X_LEG_1,18.96,42.50,-7.01,1,1670,1630,NE
1175117.531,X_LEG_1,19.09,42.47,-7.01,1,1670,1629,NE
1175117.551,X_LEG_1,19.09,42.47,-7.01,1,1670,1629,NE
1175117.572,X_LEG_1,19.09,42.47,-7.01,1,1670,1629,NE
1175117.592,X_LEG_1,19.09,42.47,-7.01,1,1670,1629,NE
1175117.613,X_LEG_1,19.09,42.47,-7.01,1,1670,1629,NE
1175117.633,X_LEG_1,19.21,42.45,-7.01,1,1670,1629,NE
1175117.654,X_LEG_1,19.21,42.45,-7.01,1,1670,1629,NE
1175117.674,X_LEG_1,19.21,42.45,-7.01,1,1670,1629,NE
1175117.694,X_LEG_1,19.21,42.45,-7.01,1,1670,1629,NE
1175117.715,X_LEG_1,19.21,42.45,-7.01,1,1670,1629,NE
1175117.735,X_LEG_1,19.34,42.41,-7.02,1,1670,1628,NE
1175117.755,X_LEG_1,19.34,42.41,-7.02,1,1670,1628,NE
1175117.776,X_LEG_1,19.34,42.41,-7.02,1,1670,1628,NE
1175117.796,X_LEG_1,19.34,42.41,-7.02,1,1670,1628,NE
1175117.816,X_LEG_1,19.34,42.41,-7.02,1,1670,1628,NE
